AAIMR;AAP,CES,CEZ,CSS,EEH,EIV,EOP,EPS,GLY,HSW,OPS,QUU
AAIMS;BJY,EPR,EPY,OPR,SSY
AAIMT;AGM,BLO,BOX,CDE,CEE,CEH,CEK,CEL,CGM,CLL,CLO,COX,EOX,EOZ,GLO,LLP,LOP
AAIMZ;ADE,CER,DEP,DNR,EKK,ENR,ENT,EOT,NOO,NPR
AAINP;AIM,CGM,CHM,DEM,EFU,EHL,EJZ,GHW,GWW,IMX,IZZ,LLU
AAINR;ANR,EOX,ERW
AAINV;AFU,CEL,CER,CLR,CLU,CLY,EIZ,EJL,ELR,FNO,NNO,NOP
AAIPS;ARX,BIT,BUX,DHH,DMT,DOZ,DUY,EHT,EMY,ETT,HTZ,HXY,IOT,JPY,KRR,MRU,OTU,PTT
AAIRS;APX,CCO,CMM,DRW,DRY,PSX
AAIRT;AAX,ACX,BCE,BCR,BEU,CEE,CFR,CFT,CRT,CZZ,DOR,DQU,EQU,FTT,GOT,IOZ,IVX,OUZ,TZZ
AAIRV;ALP,DEM,EIM,GGN,ITX
AAISS;DDM,DEF,DEM,DMN,EMN,FFN,MNO,NRR,NRU,NRV,ORU
AAIST;EHP,HPZ,IOP,LLL,LTT,OPU,PPT,QUV
AAITW;GGT
AAJLP;CFK,ENO
AAJNN;DEP,EPR
AAJNP;CIO,DEN,EIZ,ELO
AAJNW;
AAJNZ;BEO,EIP,ERT
AAJPS;CTU,EOR,HIR,IPY
AAJQQ;
AAJRS;ACM,ADM,CCK,DEM,EOP,FLO,MOR
AAJRT;HOP
AAJSV;
AAKKP;BCC,CCS,CNS
AAKKS;CCP,CNP,EOR,GNO,LRU,MOT
AAKKY;GIN
AAKLM;DNR,HLR
AAKLO;BCD,BCN,CWY,DIL,GIN
AAKLP;BLR,DNR,RTY
AAKLR;BCE,BLP,CEW,DIL,DIY,DMN,DNP,DTU,EMW,GIN,HLM,PTY
AAKLS;BCY,JWY,WWY
AAKLT;AAM,BCF,BCI,BCK,CFP,EEW,EFI,ELY,PRY
AAKLV;EIL
AAKMR;BEN,CEP,DLN,EHY,ELW,EMP,HLL
AAKMS;BNN,CEF,CJN,CNP,CNT,EEN,EFT,GIN,INN,INT,ITU,KOT
AAKNS;AHM,AMR,CIN,CKP,CMP,HIM,IKO,IMN,LOO,LOU,MMR,RYY
AAKNT;BOU
AAKOP;
AAKPP;ORT
AAKPR;BCW,BLL,CDH,CEG,CEM,DLN,DRW,EMM,LTY
AAKPS;BCN,BCY,CCK,CDY,CEG,CEN,CKN,CMN,CWY
AAKPT;CFL,LRY,OPR
AAKRS;AGN,DDH,HJN
AAKRT;CCO,CWY,DLU,LPY,OPP
AAKRY;BCD,BCG,COW,CTW,DEL,DIL,DOW,EOT,LPT
AAKST;BBC,BCC,BCF,BCY,CEE,CEO,CHY,CJY,EFM,KMO
AAKSV;IKK,ITV
AAKSW;ABL,ADN,AHI,AHJ,AOY,CDJ,CLT,CPY,GIN,HHW,HRS,IST,JLY,LWY,MRY,PRY
AAKTZ;AKZ,DEH
AAKUW;
AALLM;BBE,BBY,BEG,BEI,BET,BLP,BOR,CEI,CER,CIT,CRY,DPY,EER,EET,FII,GOY,HKR,IPT,NTY,NUY,ORY
AALLN;DEK,DFT,DIR,FIR,FOV
AALLP;ARX,BCY,BKR,BLM,DMY,DNY,FRT,FST,RST
AALLS;ABF,AFF,APT,EFF,EFV,EGT,ERT,FPT,OTV,PRT
AALLU;BDY,BVY,FGN,FNY,GIN,GIZ,IIQ,IJQ,MNY,NNY
AALLV;BES,BEU,BSY,BUY,EIK,FNO,GIT
AALLW;AFY,BCK,BEK,DEY,EWY,EYY,GOY,OOR,ORY
AALLY;AFW,BBM,BCL,BCP,BDR,BDU,BEP,BGR,BIL,BOR,BUV,CCE,CDU,CET,CIL,CIP,CIR,CMR,CRR,CTU,DIR,DMP,EKT,EWW,EWY,FIK,GGL,GMO,GOP,GOW,IRR,MOR,ORW
AALMM;AEN,AOR,BEJ,EOX
AALMO;BEF,BJN,CGU,CII,CIJ,DHY,EMX,ENX,GIN,GLY,INP,INX
AALMR;CLY,DFN,DKN,GIY,HKL
AALMS;CEN,CNN,CNS,DEN,DGY,DNN,DNS,EEN,ENS
AALMT;AAK,BNU,ILP,NUU
AALMU;BEF,BET,EMT
